Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0.0,7.0,1.0,60,3.0,0.008758782,0.028381702999999998,0.0,0.0,7,3,2,1,3,2,False,False
0.0,0.0,0.0,94,7.0,0.008843537,0.023561816,0.0,0.0,7,2,2,1,2,2,False,True
0.0,0.0,0.0,20,0.0,0.0,0.022222222000000003,0.0,0.0,6,2,10,3,3,2,False,False
0.0,2.0,1.0,8,0.0,0.018181818,0.033333333,5.0,0.0,7,1,1,2,7,2,False,False
0.0,0.0,0.0,6,0.0,0.066666667,0.083333333,0.0,0.2,6,2,2,2,2,2,False,False
1.0,0.0,0.0,14,0.0,0.0,0.0044444440000000005,1.0,0.0,9,1,1,6,5,0,False,True
0.0,0.0,0.0,13,0.0,0.030769231,0.05384615400000001,0.0,0.0,7,2,5,1,1,2,False,False
0.0,0.0,0.0,48,1.0,0.00047281300000000004,0.026312057000000003,2.0,0.0,1,2,2,4,10,2,False,True
2.0,0.0,0.0,4,0.0,0.0,0.00952381,0.0,0.0,7,2,2,1,8,0,False,False
0.0,5.0,0.0,70,3.0,0.018000000000000002,0.035693651,0.0,0.8,6,3,2,3,2,2,False,False
0.0,0.0,0.0,2,0.0,0.0,0.1,0.0,0.0,1,2,2,9,2,2,True,False
0.0,0.0,0.0,7,0.0,0.0,0.028571429,0.0,0.0,7,3,2,2,1,2,False,False
0.0,0.0,0.0,4,0.0,0.05,0.075,0.0,0.0,7,2,2,3,3,2,False,False
2.0,0.0,0.0,15,1.0,0.0,0.011111111000000002,0.0,0.0,7,3,2,6,2,0,False,False
0.0,0.0,0.0,12,0.0,0.016666667,0.020833333,0.0,0.0,6,2,4,7,4,2,True,False
0.0,0.0,0.0,10,1.0,0.0,0.03,0.0,0.0,7,2,2,3,20,2,True,False
0.0,0.0,0.0,1,0.0,0.2,0.2,0.0,0.0,5,2,4,1,3,2,False,False
0.0,0.0,0.0,9,0.0,0.022222222000000003,0.04444444400000001,0.0,0.6,6,1,1,1,3,2,False,False
0.0,0.0,0.0,14,0.0,0.004761905,0.047619048,0.0,0.0,6,2,4,1,4,2,False,False
0.0,0.0,0.0,10,0.0,0.0,0.013333333000000001,0.0,0.0,7,3,2,6,1,2,False,False
0.0,0.0,0.0,30,1.0,0.0,0.007333333,6.0,0.0,1,2,2,7,2,0,False,True
0.0,0.0,0.0,26,1.0,0.0,0.008,0.0,0.0,6,2,2,1,1,0,True,False
0.0,2.0,0.0,10,0.0,0.0,0.045454545,0.0,0.0,6,1,1,4,1,2,True,False
0.0,0.0,0.0,13,0.0,0.030769231,0.076923077,0.0,0.0,7,1,2,1,1,2,True,False
1.0,0.0,0.0,38,2.0,0.0,0.022807018,0.0,0.0,7,2,2,1,13,2,False,True
